Time	X	Y	SaccadeFlag
773255	471.7	384.5	1
773256	473.5	383.5	1
773257	474.1	382.6	1
773258	474.6	382.7	1
773259	475.8	382.6	1
773260	477	382.2	1
773261	477.9	381.9	1
773262	477.9	381.7	1
773263	478.2	381.9	1
773264	478.4	381.9	1
773265	478.4	381.8	1
773266	478.1	381.6	1
773267	477.7	381.3	1
773268	477.3	381.3	1
773269	476.9	381.4	1
773270	476.5	381.8	1
773271	476.2	382.3	1
773272	476.2	382.7	1
773273	476.2	383	1
773274	476.1	383.2	1
773275	476	383.3	1
773276	475.9	383.3	0
773277	476	383.1	0
773278	476.2	382.6	0
773279	476.3	382.3	0
773280	475.8	382	0
773281	475.3	382	0
773282	474.7	382.4	0
773283	474.4	382.8	0
773284	474.3	383.2	0
773285	474.2	383.3	0
773286	474.6	383.3	0
773287	474.8	383.1	0
773288	474.9	383.1	0
773289	474.8	383.2	0
773290	474.7	383.3	0
773291	474.9	383.3	0
773292	475.1	383.6	0
773293	475.3	384.2	0
773294	475.2	384.8	0
773295	475.2	385	0
773296	475	384.5	0
773297	474.9	384	0
773298	474.7	383.5	0
773299	474.5	383.3	0
773300	474.4	382.9	0
773301	474.2	382.8	0
773302	474.1	383.1	0
773303	473.9	383.5	0
773304	473.9	383.6	0
773305	473.9	383.2	0
773306	474	382.9	0
773307	474	382.9	0
773308	473.7	383	0
773309	473.4	383.1	0
773310	473.6	383	0
773311	473.9	382.8	0
773312	474.1	382.5	0
773313	474.1	382.5	0
773314	474.1	382.4	0
773315	474.2	382.3	0
773316	474.4	382.1	0
773317	474.6	382	0
773318	474.7	382.1	0
773319	474.7	382.2	0
773320	474.7	382.4	0
773321	474.4	382.8	0
773322	473.9	382.9	0
773323	473.5	383	0
773324	473.3	383.2	0
773325	473.2	383.5	0
773326	473.3	383.8	0
773327	473.6	383.8	0
773328	473.8	383.7	0
773329	474.2	383.7	0
773330	474.6	383.7	0
773331	474.7	383.8	0
773332	474.4	383.5	0
773333	473.9	383.1	0
773334	473.7	382.7	0
773335	473.8	382.7	0
773336	474.2	382.7	0
773337	474.6	382.6	0
773338	474.3	382.5	0
773339	474	382.5	0
773340	473.6	382.5	0
773341	473.4	382.6	0
773342	473.3	383	0
773343	473.4	383.4	0
773344	473.5	382.8	0
773345	473.7	381.9	0
773346	473.6	381.1	0
773347	473.5	381.3	0
773348	473.5	381.6	0
773349	473.6	382	0
773350	473.4	382.3	0
773351	472.9	382.1	0
773352	472.5	381.8	0
773353	472.5	381.5	0
773354	472.8	381.7	0
773355	472.8	381.9	0
773356	472.6	381.9	0
773357	472.2	382	0
773358	472.1	381.8	0
773359	472	381.7	0
773360	472.2	381.9	0
773361	472.9	382.4	0
773362	473.4	382.9	0
773363	473.8	383.2	0
773364	473.7	383.1	0
773365	473.7	383	0
773366	473.7	382.9	0
773367	473.7	382.8	0
773368	473.9	383.3	0
773369	474.2	383.9	0
773370	474.4	384.4	0
773371	474.4	384.4	0
773372	474.4	384.3	0
773373	474.4	384.2	0
773374	474.4	384.1	0
773375	474.3	384.1	0
773376	474.3	384.1	0
773377	474.3	384.1	0
773378	474.2	384.1	0
773379	474.1	384.1	0
773380	474.1	384.1	0
773381	474.1	384	0
773382	474	383.8	0
773383	473.9	383.6	0
773384	473.8	383.2	0
773385	473.6	382.9	0
773386	473.5	382.6	0
773387	473.3	382.6	0
773388	473.3	382.3	0
773389	473.2	382	0
773390	473.1	381.7	0
773391	472.9	381.6	0
773392	472.8	381.4	0
773393	472.8	381.2	0
773394	472.9	381.3	0
773395	473	381.5	0
773396	472.6	381.6	0
773397	472.3	381.6	0
773398	471.9	381.6	0
773399	472.2	381.2	0
773400	472.6	380.8	0
773401	472.6	380.4	0
773402	472.2	380.4	0
773403	471.8	380.3	0
773404	471.8	380.4	0
773405	471.9	381	0
773406	472	381.7	0
773407	472.1	382.1	0
773408	472	381.8	0
773409	472	381.5	0
773410	471.9	381.4	0
773411	471.9	381.6	0
773412	471.9	381.6	0
773413	471.8	381.4	0
773414	471.8	381.3	0
773415	471.8	381.2	0
773416	471.9	381.2	0
773417	472	381.1	0
773418	472.3	381	0
773419	472.5	381	0
773420	472.5	380.8	0
773421	472.4	380.7	0
773422	472.3	380.6	0
773423	472.6	380.6	0
773424	473	380.8	0
773425	473.2	380.9	0
773426	472.8	380.7	0
773427	472.4	380.4	0
773428	472.1	380.2	0
773429	472.2	380.6	0
773430	472.6	380.9	0
773431	473.1	381.3	0
773432	473.4	381.4	0
773433	473.3	381.5	0
773434	473.2	381.5	0
773435	473	381.4	0
773436	473.1	381.4	0
773437	473.4	381.5	0
773438	473.5	381.8	0
773439	473.4	382.1	0
773440	473.3	382.3	0
773441	473.4	382.6	0
773442	473.4	383	0
773443	473.5	383.2	0
773444	473.6	383.3	0
773445	473.6	383	0
773446	473.6	382.3	0
773447	473.6	381.6	0
773448	473.3	381	0
773449	473	380.2	0
773450	472.6	379.2	1
773451	472.8	378.4	1
773452	473.2	377.4	1
773453	473.9	376.1	1
773454	474.5	374.4	1
773455	476.1	372.7	1
773456	478.3	370.3	1
773457	481.6	367.7	1
773458	484.2	364.5	1
773459	487	361.3	1
773460	489.2	356.9	1
773461	492.3	352.8	1
773462	494.5	349.3	1
773463	496.1	345.7	1
773464	498.2	342.5	1
773465	500.2	338.1	1
773466	503.7	334.8	1
773467	506.5	331	1
773468	509.3	327.2	1
773469	511.1	323	1
773470	512.6	319.6	1
773471	514.2	316.8	1
773472	516.8	315.2	1
773473	519.3	313.3	1
773474	522.8	312.1	1
773475	525.5	309.7	1
773476	528.4	307.4	1
773477	531.1	305.2	1
773478	533.6	303.5	1
773479	535.9	302.3	1
773480	537.3	300.5	1
773481	538.6	299.3	1
773482	539.3	297.7	1
773483	539.2	297	1
773484	538.5	296.3	1
773485	537.4	296.3	1
773486	536.3	296.2	1
773487	535.4	296.3	1
773488	534.7	296.5	1
773489	534.4	296.8	1
773490	534.2	297	1
773491	534.6	297.4	1
773492	535.1	297.5	1
773493	536.2	297.6	1
773494	536.9	297.5	1
773495	537.6	297.4	1
773496	537.7	297.3	1
773497	537.6	297.3	1
773498	537.6	297.4	1
773499	537.4	297.6	1
773500	537.1	297.9	0
773501	536.9	297.6	0
773502	537	297.2	0
773503	537	297.1	0
773504	537	297.5	0
773505	537	297.8	0
773506	537.1	297.4	0
773507	537.1	297.2	0
773508	537.2	297	0
773509	537.7	297	0
773510	538.1	297	0
773511	538.8	297	0
773512	539.1	297	0
773513	539.3	297.1	0
773514	538.9	297	0
773515	538.5	296.9	0
773516	538.2	297	0
773517	538.4	297	0
773518	538.5	297.1	0
773519	538.5	296.9	0
773520	538.5	296.9	0
773521	538.4	296.9	0
773522	538.4	297	0
773523	538.2	297.1	0
773524	538.1	297.2	0
773525	538.2	297.2	0
773526	538.4	297.1	0
773527	538.6	297.1	0
773528	538.5	297.2	0
773529	538.5	297.2	0
773530	538.5	297.1	0
773531	538.6	297	0
773532	538.6	297	0
773533	538.7	297.1	0
773534	538.8	297.1	0
773535	538.8	297.1	0
773536	538.7	297.1	0
773537	538.7	297.1	0
773538	538.8	297	0
773539	538.9	297	0
773540	538.9	297	0
773541	539	297.3	0
773542	539	297.5	0
773543	539	297.8	0
773544	539	297.7	0
773545	539.1	297.7	0
773546	539.4	297.8	0
773547	539.7	297.8	0
773548	539.9	297.7	0
773549	540	297.4	0
773550	539.9	297	0
773551	539.7	296.9	0
773552	539.7	297	0
773553	539.8	297.1	0
773554	540	297.2	0
773555	539.9	297.2	0
773556	539.8	297.4	0
773557	539.6	297.7	0
773558	539.6	298	0
773559	539.5	297.7	0
773560	539.4	297.2	0
773561	539.1	296.6	0
773562	538.7	296.5	0
773563	538.6	296.5	0
773564	538.8	296.6	0
773565	538.9	296.7	0
773566	538.7	296.6	0
773567	538.7	296.4	0
773568	538.7	296.1	0
773569	538.8	296.1	0
773570	538.1	296.3	0
773571	537.3	296.4	0
773572	536.6	296.6	0
773573	536.5	296.6	0
773574	536.2	296.4	0
773575	535.9	296.2	0
773576	535.8	295.8	0
773577	536.1	295.7	0
773578	536.5	295.8	0
773579	536.6	296.1	0
773580	536.8	296.3	0
773581	536.8	296.3	0
773582	536.8	296.2	0
773583	536.8	296.1	0
773584	537.2	296.1	0
773585	537.5	296.1	0
773586	537.4	296.2	0
773587	537	296.3	0
773588	536.6	296.3	0
773589	536.6	296.2	0
773590	536.6	296.1	0
773591	536.6	295.8	0
773592	536.7	295.4	0
773593	536.7	295.4	0
773594	536.7	295.6	0
773595	536.7	295.7	0
773596	536.8	295.7	0
773597	536.9	295.4	0
773598	537	295	0
773599	537.1	294.7	0
773600	537.1	294.1	0
773601	536.9	293.4	0
773602	536.7	293	0
773603	536.6	293.3	0
773604	536.6	293.7	0
773605	536.5	293.9	0
773606	536.5	294.1	0
773607	536.4	294	0
773608	536.4	294.2	0
773609	536.4	294.2	0
773610	536.8	294.3	0
773611	537.3	294.2	0
773612	537.7	294.4	0
773613	537.7	294.7	0
773614	538.1	295	0
773615	538.5	294.4	0
773616	538.9	293.6	0
773617	538.8	293.2	0
773618	538.6	293.6	0
773619	538.5	294	0
773620	538.5	294.2	0
773621	538.5	294.3	0
773622	538.4	294.5	0
773623	538.5	294.4	0
773624	538.6	294.2	0
773625	538.5	294.1	0
773626	538.3	294	0
773627	538	294.1	0
773628	537.9	294.1	0
773629	537.9	293.8	0
773630	537.9	293.5	0
773631	538	293.3	0
773632	538.1	293.5	0
773633	538	293.6	0
773634	537.9	293.5	0
773635	537.8	293.3	0
773636	537.7	293.6	0
773637	537.8	294	0
773638	537.8	294.4	0
773639	537.8	294.3	0
773640	537.8	293.5	0
773641	537.8	292.9	0
773642	538.1	293.2	0
773643	538.4	294.1	0
773644	538.8	295	0
773645	539.1	295	0
773646	539.4	295	0
773647	539.4	295	0
773648	539.3	295.4	0
773649	539.1	295.9	0
773650	538.9	296.3	0
773651	538.7	295.9	0
773652	538.5	295.4	0
773653	538.5	294.8	0
773654	538.4	294.8	0
773655	538.2	294.6	0
773656	538	294.6	0
773657	537.7	294.9	0
773658	537.6	295.3	0
773659	537.6	295.7	0
773660	537.6	295.5	0
773661	537.6	295.1	0
773662	537.6	294.7	0
773663	537.6	294.5	0
773664	537.5	295	0
773665	537.5	295.5	0
773666	537.4	295.8	0
773667	537.4	295.7	0
773668	537.9	295.7	0
773669	538.4	295.8	0
773670	538.5	296	0
773671	538.1	296.3	0
773672	538	296.6	0
773673	538.2	296.7	0
773674	538.4	296.7	0
773675	538.4	296.6	0
773676	538.4	296.5	0
773677	538.4	296.5	0
773678	538.8	296.6	0
773679	539	296.6	0
773680	538.5	296.3	0
773681	537.8	295.9	0
773682	537.1	295.6	0
773683	537.3	295.5	0
773684	537.4	295.5	0
773685	537.4	295.7	0
773686	537.8	295.9	0
773687	538.2	296.3	0
773688	538.5	296.4	0
773689	538.2	296.4	0
773690	538	296.3	0
773691	537.8	296.3	0
773692	538	296.4	0
773693	538.1	296.5	0
773694	538.1	296.6	0
773695	538.1	296.6	0
773696	538.2	296.6	0
773697	538.3	296.6	0
773698	538.3	296.7	0
773699	538.4	296.7	0
773700	538.4	296.9	0
773701	538.4	297.2	0
773702	538.3	297.2	0
773703	538.3	297.2	0
773704	538.3	297.1	0
773705	538.3	297.1	0
773706	538.3	297.2	0
773707	538.3	297.2	0
773708	538.2	297.3	0
773709	538.2	297.3	0
773710	538.5	297.3	0
773711	538.8	297.3	0
773712	538.7	297.3	0
773713	538.2	297.3	0
773714	537.9	297.3	0
773715	537.9	297.2	0
773716	537.8	297.1	0
773717	537.7	297.1	0
773718	537.8	297.1	0
773719	538.3	297.1	0
773720	538.7	297.1	0
773721	538.9	296.9	0
773722	538.7	296.7	0
773723	538.4	296.6	0
773724	538.4	296.7	0
773725	538.2	296.7	0
773726	538	296.6	0
773727	537.9	296.4	0
773728	538.1	296.3	0
773729	538.3	296.2	0
773730	538	296.1	0
773731	537.6	296.7	0
773732	537.4	297.5	0
773733	537.7	298.2	0
773734	538.1	298.2	0
773735	538.2	298.2	0
773736	538.3	298.3	0
773737	538.4	298.3	0
773738	538.5	298.4	0
773739	538.5	298.3	0
773740	538.4	297.7	0
773741	538.2	297.1	0
773742	538	296.6	0
773743	538	296.9	0
773744	538.1	297.6	0
773745	538	298.3	0
773746	538	298.4	0
773747	538	298	0
773748	538.3	297.7	0
773749	538.3	298.1	0
773750	538.1	298.3	0
773751	537.6	298.3	0
773752	537.3	298.2	0
773753	537.1	298.2	0
773754	537	298.4	0
773755	537.2	298.4	0
773756	537.4	298.2	0
773757	537.6	298.1	0
773758	537.8	298.2	0
773759	537.9	298.2	0
773760	538	298.2	0
773761	538	298.2	0
773762	538.1	298.5	0
773763	538.2	298.7	0
773764	538.2	298.9	0
773765	538.2	298.7	0
773766	538.4	298.4	0
773767	538.6	298.4	0
773768	538.7	298.6	0
773769	538.8	298.8	0
773770	538.7	298.7	0
773771	538.6	298.7	0
773772	538.5	298.7	0
773773	538.4	298.4	0
773774	538.4	298.1	0
773775	538.5	297.8	0
773776	538.3	297.8	0
773777	538.2	297.8	0
773778	538.2	298.3	0
773779	538.3	298.8	0
773780	538.4	299.1	0
773781	538.4	298.8	0
773782	538.1	297.9	0
773783	537.8	297.2	0
773784	537.6	297	0
773785	537.7	297.4	0
773786	537.9	297.9	0
773787	537.9	297.8	0
773788	538.1	297.4	0
773789	538.2	297.1	0
773790	538.3	297.4	0
773791	538.4	298.2	0
773792	538.5	299	0
773793	538.7	298.7	0
773794	539.1	298.4	0
773795	539.5	298.2	0
773796	539.4	298.4	0
773797	539	298.2	0
773798	538.3	297.7	0
773799	538	297.2	0
773800	537	297.2	0
773801	536.2	297.7	1
773802	535.3	298.2	1
773803	533.6	298.8	1
773804	531	298.8	1
773805	527.8	299.4	1
773806	524.8	300	1
773807	521.3	300.6	1
773808	516.6	300.7	1
773809	510.5	300.8	1
773810	504.7	300.8	1
773811	498.6	300.8	1
773812	493.7	300.6	1
773813	488.4	300.5	1
773814	483.8	300.5	1
773815	479.2	300.6	1
773816	475.7	300.7	1
773817	472.6	300.8	1
773818	470.9	300.8	1
773819	468.8	300.5	1
773820	467.6	299.9	1
773821	466.3	299.4	1
773822	466.1	300	1
773823	465.9	300.7	1
773824	465.8	301.5	1
773825	465.8	301.8	1
773826	466	302.2	1
773827	466.7	303	1
773828	467.3	303.6	1
773829	467.8	304.1	1
773830	467.8	304.4	1
773831	468.1	304.6	1
773832	468.9	304.8	1
773833	470	305	1
773834	471	305.2	1
773835	472.3	305.5	1
773836	473.5	305.7	1
773837	475	306.1	1
773838	475.8	306.3	1
773839	476	306.1	1
773840	475.8	305.6	1
773841	475.5	305	1
773842	475.5	304.1	1
773843	475.3	303.3	1
773844	475.2	302.8	1
773845	475	303	1
773846	474.3	303.2	1
773847	473.6	303.3	1
773848	472.8	303.4	1
773849	472.8	303.5	1
773850	472.8	303.5	1
773851	472.8	303.7	1
773852	472.8	304	0
773853	472.5	304.3	0
773854	472.3	304.2	0
773855	472	304.1	0
773856	472.1	304	0
773857	472	304.1	0
773858	471.8	304.2	0
773859	471.6	304.4	0
773860	471.4	304.5	0
773861	471.4	304.1	0
773862	471.1	303.8	0
773863	470.7	304.2	0
773864	470.5	304.9	0
773865	471.3	305.8	0
773866	472.1	305.9	0
773867	472.9	305.9	0
773868	472.4	305.9	0
773869	472	306	0
773870	471.9	306.3	0
773871	472.3	307.1	0
773872	472.5	307.6	0
773873	472.2	307.8	0
773874	471.9	307.6	0
773875	471.9	307.3	0
773876	471.8	307.3	0
773877	471.8	307.1	0
773878	471.9	306.9	0
773879	471.7	306.7	0
773880	471.5	306.4	0
773881	471.3	306.1	0
773882	471.4	305.8	0
773883	472	305.8	0
773884	472.6	306	0
773885	472.9	306.3	0
773886	472.8	306.6	0
773887	472.9	306.6	0
773888	473.2	306.5	0
773889	473.4	306.4	0
773890	473.1	306.3	0
773891	472.8	306.3	0
773892	472.6	306.2	0
773893	472.4	306	0
773894	472.2	305.8	0
773895	472	305.8	0
773896	471.9	305.7	0
773897	471.8	305.5	0
773898	471.6	305	0
773899	471.4	304.6	0
773900	471.5	304.4	0
773901	471.5	304.4	0
773902	471.4	304.6	0
773903	471.3	304.8	0
773904	471.2	305	0
773905	471	305	0
773906	470.6	305	0
773907	470.3	305	0
773908	470.3	305.1	0
773909	470.2	305.1	0
773910	470.1	305.1	0
773911	470.1	305.1	0
773912	470.3	305.2	0
773913	470.6	304.9	0
773914	471.1	304.5	0
773915	471.5	304	0
773916	471.6	304.1	0
773917	471.3	304	0
773918	470.9	303.9	0
773919	470.8	304	0
773920	470.8	304.2	0
773921	470.6	304.5	0
773922	470.5	304.7	0
773923	470.4	304.7	0
773924	470.5	304.7	0
773925	470.6	304.6	0
773926	470.9	304.4	0
773927	471.3	304.3	0
773928	471.4	304.7	0
773929	471.1	305.5	0
773930	470.9	306.3	0
773931	470.9	305.9	0
773932	470.9	305.1	0
773933	470.9	304.4	0
773934	470.9	304.3	0
773935	471	304.3	0
773936	471.1	304.3	0
773937	471.1	304.4	0
773938	471	304.4	0
773939	470.9	304.4	0
773940	470.8	304.8	0
773941	470.8	305.5	0
773942	470.9	306.2	0
773943	471	306.1	0
773944	471	305.7	0
773945	471.1	305.5	0
773946	471.1	305.7	0
773947	471.1	305.9	0
773948	471.1	305.8	0
773949	471.1	305.6	0
773950	471.2	305.4	0
773951	471.2	305.3	0
773952	471.3	305.4	0
773953	471	305.7	0
773954	470.7	305.8	0
773955	470.5	305.8	0
773956	470.7	305.7	0
773957	471.1	305.7	0
773958	471.4	305.6	0
773959	471.6	305.4	0
773960	471.7	305.3	0
773961	471.2	305.2	0
773962	470.8	305.6	0
773963	470.5	305.9	0
773964	470.9	306.3	0
773965	471.2	306.4	0
773966	471.8	307	0
773967	472.1	307.5	0
773968	471.9	308	0
773969	471.5	308	0
773970	471.3	307.9	0
773971	471.3	307.7	0
773972	471.5	307.2	0
773973	471.4	306.9	0
773974	471.5	306.5	0
773975	471.5	306.2	0
773976	471.5	306.5	0
773977	471.4	307	0
773978	471.7	307	0
773979	472	306.4	0
773980	472.2	305.7	0
773981	471.9	305.7	0
773982	471.6	305.1	0
773983	471.4	304.5	0
773984	471.4	304.2	0
773985	471	304.5	0
773986	470.5	304.9	0
773987	470.6	304.9	0
773988	471.1	304.7	0
773989	471.4	304.5	0
773990	471.2	304.2	0
773991	470.9	304.1	0
773992	470.9	304.3	0
773993	471	304.5	0
773994	471	304.7	0
773995	471.1	304.8	0
773996	471.3	304.8	0
773997	471.5	304.7	0
773998	471.7	304.7	0
773999	471.7	304.7	0
774000	471.6	304.7	0
774001	471.6	304.8	0
774002	471.5	304.8	0
774003	471.4	304.7	0
774004	471.4	304.7	0
774005	471.6	305.2	0
774006	471.8	305.7	0
774007	471.7	305.6	0
774008	471.6	305.1	0
774009	471.5	304.7	0
774010	471.4	304.9	0
774011	470.8	305	0
774012	470.2	304.9	1
774013	468.9	305.3	1
774014	466.1	305.6	1
774015	461.4	306.3	1
774016	456.4	306.7	1
774017	449.9	307.1	1
774018	442.5	307.7	1
774019	433.4	308.2	1
774020	424	309.2	1
774021	414	309.8	1
774022	403.1	310.3	1
774023	392.3	310.5	1
774024	381.8	310.4	1
774025	371.8	310	1
774026	361.3	308.8	1
774027	350.2	307.9	1
774028	339	305.8	1
774029	328.2	303.9	1
774030	317.6	301	1
774031	307.4	299.6	1
774032	298.9	298.2	1
774033	289.9	297.2	1
774034	281.4	295.4	1
774035	272.5	294.1	1
774036	264.4	293.3	1
774037	255.4	293.4	1
774038	244.3	293.4	1
774039	232.9	293.2	1
774040	219.3	292.1	1
774041	206.7	290.6	1
774042	194.3	289.1	1
774043	183.3	288.6	1
774044	172.5	287.8	1
774045	162.9	286.8	1
774046	153.8	285.8	1
774047	145.9	285.2	1
774048	138.4	284.7	1
774049	133.4	284	1
774050	129.4	283.7	1
774051	126.1	284	1
774052	122.3	284.6	1
774053	118.2	285.4	1
774054	112.9	285.6	1
774055	107.7	286.2	1
774056	101	287.3	1
774057	95.7	288.8	1
774058	91.6	289.9	1
774059	88.3	290.4	1
774060	85.8	290.4	1
774061	83.8	290.4	1
774062	84.9	290.6	1
774063	87.1	290.8	1
774064	89.1	290.6	1
774065	92.9	290.2	1
774066	96.5	289.5	1
774067	101.5	289.3	1
774068	104.7	289.5	1
774069	107.3	289.9	1
774070	108.5	289.4	1
774071	108.3	288.3	1
774072	108	287.2	0
774073	107.3	287	0
774074	106.4	287	0
774075	105.5	287.1	0
774076	104.5	287.1	0
774077	103.8	287	0
774078	102.9	286.8	0
774079	101.8	286.8	0
774080	100.8	286.8	0
774081	100.1	286.7	0
774082	100.3	286.6	0
774083	100.5	287.4	0
774084	100.2	288.2	0
774085	99.9	289.1	0
774086	99.7	289.1	0
774087	99.7	288.8	0
774088	99.8	288.6	0
774089	99.8	288.1	0
774090	99.2	288	0
774091	98.6	288	0
774092	98.1	288.1	0
774093	98.8	288.2	0
774094	99.5	287.7	0
774095	99.7	287.3	0
774096	99.2	287.1	0
774097	98.9	287.4	0
774098	99	287.6	0
774099	98.8	287.4	0
774100	98.5	287.2	0
774101	98.2	286.9	0
774102	98.2	286.7	0
774103	98.2	286.7	0
774104	98.2	287	0
774105	98.5	287.4	0
774106	98.8	287.8	0
774107	99.4	288.8	0
774108	99.8	289.7	0
774109	99.7	290.1	0
774110	99.2	289.8	0
774111	99.5	289.5	0
774112	100.3	289.3	0
774113	100.7	289.4	0
774114	100.2	289.6	0
774115	99.6	289.6	0
774116	99.1	289.4	0
774117	98.9	289	0
