SampleTime	X	Y	SacFlagEyeLink	SacFlagNystrom
2794991	274.30	390.10	0	0
2794992	273.80	389.90	0	0
2794993	273.60	389.60	0	0
2794994	273.40	389.10	0	0
2794995	273.60	388.60	0	0
2794996	273.70	388.20	0	0
2794997	273.90	388.10	0	0
2794998	274.30	388.60	0	0
2794999	274.30	389.40	0	0
2795000	274.20	390.20	0	0
2795001	274.00	390.10	0	0
2795002	273.80	389.60	0	0
2795003	273.30	389.10	0	0
2795004	272.80	388.60	0	0
2795005	272.50	388.20	0	0
2795006	272.30	387.70	0	0
2795007	272.00	387.30	0	0
2795008	271.50	386.60	0	0
2795009	271.30	386.00	0	0
2795010	271.10	385.20	0	0
2795011	270.90	384.90	0	0
2795012	270.90	384.80	0	0
2795013	271.10	385.10	0	0
2795014	272.10	385.80	0	0
2795015	273.20	386.30	0	0
2795016	274.20	386.70	0	0
2795017	274.30	386.60	0	0
2795018	274.00	386.90	0	0
2795019	273.70	387.10	0	0
2795020	273.30	387.30	0	0
2795021	273.10	387.10	0	0
2795022	272.90	386.80	0	0
2795023	273.00	386.50	0	0
2795024	272.00	386.30	0	0
2795025	270.90	386.40	0	0
2795026	269.90	386.40	0	0
2795027	269.90	386.50	0	0
2795028	271.20	386.30	0	0
2795029	272.40	386.30	0	0
2795030	273.70	386.20	0	0
2795031	273.80	386.10	0	0
2795032	273.90	386.00	0	0
2795033	274.00	386.80	0	0
2795034	274.00	387.60	0	0
2795035	274.20	388.40	0	0
2795036	274.30	388.40	0	0
2795037	274.30	388.40	0	0
2795038	274.10	388.60	0	0
2795039	273.10	388.70	0	0
2795040	272.20	388.80	0	0
2795041	271.40	388.90	0	0
2795042	271.30	388.80	0	0
2795043	271.20	388.90	0	0
2795044	271.00	389.10	0	0
2795045	271.00	389.40	0	0
2795046	271.20	388.60	0	0
2795047	271.40	387.70	0	0
2795048	271.30	386.80	0	0
2795049	271.10	387.00	0	0
2795050	271.40	387.50	0	0
2795051	272.00	388.60	0	0
2795052	272.40	389.60	0	0
2795053	272.20	390.30	0	0
2795054	271.70	390.40	0	0
2795055	271.30	390.00	0	0
2795056	270.90	389.40	0	0
2795057	270.80	389.00	0	0
2795058	270.80	389.20	0	0
2795059	270.90	389.30	0	0
2795060	271.00	388.90	0	0
2795061	270.90	388.40	0	0
2795062	270.70	387.90	0	0
2795063	270.40	388.00	0	0
2795064	270.20	388.00	0	0
2795065	270.00	388.10	0	0
2795066	270.30	387.90	0	0
2795067	270.50	387.80	0	0
2795068	270.70	387.70	0	0
2795069	271.10	387.80	0	0
2795070	271.50	387.70	0	0
2795071	272.00	387.60	0	0
2795072	272.20	387.50	0	0
2795073	272.10	387.60	0	0
2795074	271.80	387.70	0	0
2795075	271.50	387.80	0	0
2795076	271.30	387.90	0	0
2795077	271.40	387.80	0	0
2795078	271.90	387.40	0	0
2795079	272.40	387.00	0	0
2795080	272.70	386.60	0	0
2795081	272.70	386.50	0	0
2795082	271.30	386.60	0	0
2795083	270.00	386.70	0	0
2795084	269.40	386.90	0	0
2795085	270.10	386.90	0	0
2795086	271.40	387.00	0	0
2795087	272.00	386.90	0	0
2795088	272.40	386.70	0	0
2795089	272.30	386.40	0	0
2795090	271.90	386.60	0	0
2795091	271.30	386.80	0	0
2795092	270.90	386.80	0	0
2795093	270.60	386.70	0	0
2795094	270.60	386.60	0	0
2795095	270.40	386.60	0	0
2795096	270.10	386.50	0	0
2795097	269.90	386.50	0	0
2795098	269.90	386.60	0	0
2795099	269.90	386.60	0	0
2795100	270.10	386.50	0	0
2795101	270.30	386.30	0	0
2795102	270.40	386.40	0	0
2795103	270.50	386.60	0	0
2795104	270.70	386.60	0	0
2795105	270.90	386.40	0	0
2795106	271.40	386.50	0	0
2795107	271.70	387.00	0	0
2795108	272.00	387.50	0	0
2795109	271.90	387.90	0	0
2795110	271.90	388.10	0	0
2795111	272.00	388.20	0	0
2795112	272.20	388.10	0	0
2795113	271.40	387.90	0	0
2795114	270.40	388.10	0	0
2795115	269.80	388.40	0	0
2795116	270.20	388.70	0	0
2795117	270.70	388.60	0	0
2795118	270.60	388.50	0	0
2795119	270.50	388.50	0	0
2795120	270.40	388.60	0	0
2795121	270.40	388.60	0	0
2795122	270.40	388.60	0	0
2795123	270.40	388.50	0	0
2795124	270.30	388.50	0	0
2795125	269.70	388.40	0	0
2795126	269.10	388.30	0	0
2795127	268.80	388.10	0	0
2795128	269.00	388.00	0	0
2795129	269.20	387.90	0	0
2795130	269.30	387.50	0	0
2795131	269.50	387.10	0	0
2795132	269.80	387.00	0	0
2795133	270.10	387.10	0	0
2795134	270.20	387.10	0	0
2795135	270.40	387.50	0	0
2795136	270.30	387.90	1	0
2795137	270.30	387.90	1	0
